delegacion,colonia
ADOLFO LOPEZ MATEOS,MIGUEL HIDALGO (CORRALITOS)
ADOLFO LOPEZ MATEOS,PARQUES NACIONALES I
ADOLFO LOPEZ MATEOS,PARQUES NACIONALES II
ARBOL DE LAS MANITAS,HUITZILA Y DOCTORES
ARBOL DE LAS MANITAS,LOMAS ALTAS
ARBOL DE LAS MANITAS,NIÑOS HEROES (PENSIONES)
ARBOL DE LAS MANITAS,ZOPILOCALCO NORTE
ARBOL DE LAS MANITAS,ZOPILOCALCO SUR
BARRIOS TRADICIONALES,EL COPORO
BARRIOS TRADICIONALES,LA RETAMA
BARRIOS TRADICIONALES,SAN LUIS OBISPO
BARRIOS TRADICIONALES,SAN MIGUEL APINAHUIZCO
BARRIOS TRADICIONALES,SANTA BARBARA
BARRIOS TRADICIONALES,UNION
CACALOMACAN,DEL CENTRO
CACALOMACAN,EL ARENAL
CACALOMACAN,RANCHO SAN MIGUEL ZACANGO
CACALOMACAN,SAGRADO CORAZON
CALIXTLAHUACA,EL CALVARIO
CALIXTLAHUACA,PALMILLAS
CALIXTLAHUACA,SAN FRANCISCO DE ASIS
CALIXTLAHUACA,ZONA ARQUEOLOGICA
CAPULTITLAN,GUADALUPE
CAPULTITLAN,LA SOLEDAD
CAPULTITLAN,LOS PINOS
CAPULTITLAN,PASEOS DEL VALLE
CAPULTITLAN,SAN ISIDRO LABRADOR
CAPULTITLAN,SAN JUDAS TADEO
CENTRO HISTORICO,5 DE MAYO
CENTRO HISTORICO,CENTRO
CENTRO HISTORICO,FRANCISCO MURGUIA (EL RANCHITO)
CENTRO HISTORICO,LA MERCED (ALAMEDA)
CENTRO HISTORICO,SANTA CLARA
CIUDAD UNIVERSITARIA,PLAZAS DE SAN BUENAVENTURA
CIUDAD UNIVERSITARIA,SAN BERNARDINO
CIUDAD UNIVERSITARIA,VICENTE GUERRERO
COLON,COLON Y CIPRES I
COLON,COLON Y CIPRES II
COLON,ISIDRO FABELA PRIMERA SECCION
COLON,ISIDRO FABELA SEGUNDA SECCION
COLON,RANCHO DOLORES
DEL PARQUE,AMPLIACION LAZARO CARDENAS
DEL PARQUE,AZTECA
DEL PARQUE,DEL PARQUE I
DEL PARQUE,DEL PARQUE II
DEL PARQUE,LAZARO CARDENAS
EL CERRILLO VISTA HERMOSA,EL CERRILLO
EL CERRILLO VISTA HERMOSA,EL EMBARCADERO
INDEPENDENCIA,INDEPENDENCIA
INDEPENDENCIA,LAS TORRES (CIENTIFICOS)
INDEPENDENCIA,METEORO
INDEPENDENCIA,REFORMA Y FERROCARRILES NACIONALES (SAN JUAN BAUTISTA)
INDEPENDENCIA,SAN JUAN BUENAVISTA
LA MAQUINITA,CARLOS HANK Y LOS FRAILES
LA MAQUINITA,"GUADALUPE, CLUB JARDIN Y LA MAGDALENA"
LA MAQUINITA,LOS ANGELES
LA MAQUINITA,RANCHO LA MORA
LA MAQUINITA,TLACOPA
METROPOLITANA,LAS MARGARITAS
METROPOLITANA,LAS PALOMAS
METROPOLITANA,RANCHO DE MAYA
MODERNA DE LA CRUZ,BOSQUES DE COLON
MODERNA DE LA CRUZ,MODERNA DE LA CRUZ I
MODERNA DE LA CRUZ,MODERNA DE LA CRUZ II
MORELOS,FEDERAL (ADOLFO LOPEZ MATEOS)
MORELOS,MORELOS PRIMERA SECCION
MORELOS,MORELOS SEGUNDA SECCION
NUEVA OXTOTITLAN,NUEVA OXTOTITLAN I
NUEVA OXTOTITLAN,NUEVA OXTOTITLAN II
OCHO CEDROS,OCHO CEDROS I
OCHO CEDROS,OCHO CEDROS II
OCHO CEDROS,OCHO CEDROS SEGUNDA SECCION
OCHO CEDROS,VILLA HOGAR
SAN ANDRES CUEXCONTITLAN,EJIDO DE SAN DIEGO DE LOS PADRES CUEXCONTITLAN
SAN ANDRES CUEXCONTITLAN,EJIDO DE LA Y
SAN ANDRES CUEXCONTITLAN,JICALTEPEC CUEXCONTITLAN
SAN ANDRES CUEXCONTITLAN,LA CONCEPCION
SAN ANDRES CUEXCONTITLAN,LA LOMA CUEXCONTITLAN
SAN ANDRES CUEXCONTITLAN,LOMA LA PROVIDENCIA
SAN ANDRES CUEXCONTITLAN,LA NATIVIDAD
SAN ANDRES CUEXCONTITLAN,SAN ANDRES
SAN ANDRES CUEXCONTITLAN,SAN DIEGO DE LOS PADRES CUEXCONTITLAN I
SAN ANDRES CUEXCONTITLAN,SAN DIEGO DE LOS PADRES CUEXCONTITLAN II
SAN ANDRES CUEXCONTITLAN,SANTA ROSA
SAN ANTONIO BUENAVISTA,CAMINO REAL
SAN ANTONIO BUENAVISTA,JOSE MARIA HEREDIA
SAN ANTONIO BUENAVISTA,LOS ROSALES
SAN BUENAVENTURA,ALAMEDA 2000
SAN BUENAVENTURA,CULTURAL
SAN BUENAVENTURA,DEL DEPORTE
SAN BUENAVENTURA,COLONIA GUADALUPE
SAN BUENAVENTURA,INSURGENTES
SAN BUENAVENTURA,PENSADOR MEXICANO
SAN CAYETANO MORELOS,CERRILLO PIEDRAS BLANCAS
SAN CAYETANO MORELOS,SAN CAYETANO
SAN CRISTOBAL HUICHOCHITLAN,LA CONCEPCION
SAN CRISTOBAL HUICHOCHITLAN,LA TRINIDAD I
SAN CRISTOBAL HUICHOCHITLAN,LA TRINIDAD II
SAN CRISTOBAL HUICHOCHITLAN,SAN GABRIEL
SAN CRISTOBAL HUICHOCHITLAN,SAN JOSE GUADALUPE HUICHOCHITLAN
SAN CRISTOBAL HUICHOCHITLAN,SAN SALVADOR I
SAN CRISTOBAL HUICHOCHITLAN,SAN SALVADOR II
SAN FELIPE TLALMIMILOLPAN,DEL CENTRO
SAN FELIPE TLALMIMILOLPAN,DEL PANTEON
SAN FELIPE TLALMIMILOLPAN,EL CALVARIO
SAN FELIPE TLALMIMILOLPAN,EL FRONTON
SAN FELIPE TLALMIMILOLPAN,JARDINES DE SAN PEDRO
SAN FELIPE TLALMIMILOLPAN,LA CURVA
SAN FELIPE TLALMIMILOLPAN,LA VENTA
SAN FELIPE TLALMIMILOLPAN,LOS ALAMOS
SAN JUAN TILAPA,CENTRO
SAN JUAN TILAPA,EL DURAZNO
SAN JUAN TILAPA,GUADALUPE
SAN JUAN TILAPA,LAZARO CARDENAS
SAN LORENZO TEPALTITLAN,CELANESE
SAN LORENZO TEPALTITLAN,DEL CENTRO
SAN LORENZO TEPALTITLAN,DEL PANTEON
SAN LORENZO TEPALTITLAN,EL CHARCO
SAN LORENZO TEPALTITLAN,EL MOGOTE
SAN LORENZO TEPALTITLAN,LA CRUZ COMALCO
SAN LORENZO TEPALTITLAN,LA LOMA
SAN LORENZO TEPALTITLAN,LAS FLORES
SAN LORENZO TEPALTITLAN,RINCON DE SAN LORENZO
SAN LORENZO TEPALTITLAN,SAN ANGELIN
SAN LORENZO TEPALTITLAN,SAN ISIDRO
SAN MARCOS YACHIHUACALTEPEC,NORTE
SAN MARCOS YACHIHUACALTEPEC,SUR
SAN MARTIN TOLTEPEC,EJIDO DE SAN MARCOS
SAN MARTIN TOLTEPEC,LA PALMA TOLTEPEC
SAN MARTIN TOLTEPEC,PASEOS DE SAN MARTIN
SAN MARTIN TOLTEPEC,SAN ISIDRO
SAN MARTIN TOLTEPEC,SAN MARTIN
SAN MARTIN TOLTEPEC,SEBASTIAN LERDO DE TEJADA
SAN MATEO OTZACATIPAN,FRANCISCO VILLA
SAN MATEO OTZACATIPAN,GEOVILLAS ARBOLEDA
SAN MATEO OTZACATIPAN,GEOVILLAS INDEPENDENCIA
SAN MATEO OTZACATIPAN,JARDINES DE LA CRESPA
SAN MATEO OTZACATIPAN,CANALEJA
SAN MATEO OTZACATIPAN,LA CRESPA
SAN MATEO OTZACATIPAN,LA FLORESTA
SAN MATEO OTZACATIPAN,LA MAGDALENA
SAN MATEO OTZACATIPAN,ORIENTE I
SAN MATEO OTZACATIPAN,ORIENTE II
SAN MATEO OTZACATIPAN,PONIENTE I
SAN MATEO OTZACATIPAN,PONIENTE II
SAN MATEO OTZACATIPAN,RANCHO SAN JOSE
SAN MATEO OTZACATIPAN,SAN BLAS OTZACATIPAN
SAN MATEO OTZACATIPAN,SAN DIEGO DE LOS PADRES
SAN MATEO OTZACATIPAN,SAN JOSE GUADALUPE OTZACATIPAN
SAN MATEO OTZACATIPAN,SAN NICOLAS TOLENTINO I
SAN MATEO OTZACATIPAN,SAN NICOLAS TOLENTINO II
SAN MATEO OTZACATIPAN,SANTA CRUZ OTZACATIPAN
SAN MATEO OTZACATIPAN,VICENTE LOMBARDO
SAN MATEO OXTOTITLAN,14 DE DICIEMBRE
SAN MATEO OXTOTITLAN,20 DE NOVIEMBRE
SAN MATEO OXTOTITLAN,ATOTONILCO
SAN MATEO OXTOTITLAN,CENTRO
SAN MATEO OXTOTITLAN,EL TRIGO
SAN MATEO OXTOTITLAN,NIÑOS HEROES I
SAN MATEO OXTOTITLAN,NIÑOS HEROES II
SAN MATEO OXTOTITLAN,PROTINBOS
SAN MATEO OXTOTITLAN,RINCON DEL PARQUE
SAN MATEO OXTOTITLAN,SAN JORGE
SAN MATEO OXTOTITLAN,TIERRA Y LIBERTAD
SAN MATEO OXTOTITLAN,TLALNEPANTLA
SAN PABLO AUTOPAN,AVIACION AUTOPAN
SAN PABLO AUTOPAN,DE JESUS 1RA SECCION
SAN PABLO AUTOPAN,DE JESUS 2DA SECCION
SAN PABLO AUTOPAN,DE JESUS 3RA SECCION
SAN PABLO AUTOPAN,GALAXIA TOLUCA
SAN PABLO AUTOPAN,JICALTEPEC AUTOPAN
SAN PABLO AUTOPAN,OJO DE AGUA AUTOPAN
SAN PABLO AUTOPAN,PUEBLO NUEVO I
SAN PABLO AUTOPAN,PUEBLO NUEVO II
SAN PABLO AUTOPAN,REAL de SAN PABLO
SAN PABLO AUTOPAN,SAN CARLOS AUTOPAN
SAN PABLO AUTOPAN,SAN DIEGO
SAN PABLO AUTOPAN,SAN DIEGO LINARES
SAN PABLO AUTOPAN,SANTA CRUZ I
SAN PABLO AUTOPAN,SANTA CRUZ II
SAN PABLO AUTOPAN,SANTA MARIA TLACHALOYITA
SAN PABLO AUTOPAN,JICALTEPEC
SAN PEDRO TOTOLTEPEC,ARROYO VISTA HERMOSA
SAN PEDRO TOTOLTEPEC,BARRIO DE SAN FRANCISCO TOTOLTEPEC
SAN PEDRO TOTOLTEPEC,COLONIA LAS CANASTAS TOTOLTEPEC
SAN PEDRO TOTOLTEPEC,DEL PANTEON
SAN PEDRO TOTOLTEPEC,DEL CENTRO
SAN PEDRO TOTOLTEPEC,FRANCISCO I. MADERO
SAN PEDRO TOTOLTEPEC,GEOVILLAS
SAN PEDRO TOTOLTEPEC,GUADALUPE TOTOLTEPEC
SAN PEDRO TOTOLTEPEC,LA CONSTITUCION TOTOLTEPEC
SAN PEDRO TOTOLTEPEC,LA GALIA
SAN PEDRO TOTOLTEPEC,MANZANA SUR
SAN PEDRO TOTOLTEPEC,NUEVA SAN FRANCISCO
SAN PEDRO TOTOLTEPEC,SAN BLAS
SAN PEDRO TOTOLTEPEC,SAN MIGUEL TOTOLTEPEC
SAN SEBASTIAN,COMISION FEDERAL DE ELECTRICIDAD
SAN SEBASTIAN,IZCALLI IPIEM
SAN SEBASTIAN,IZCALLI TOLUCA
SAN SEBASTIAN,PROGRESO
SAN SEBASTIAN,SALVADOR SANCHEZ COLIN
SAN SEBASTIAN,SAN SEBASTIAN Y VERTICE
SAN SEBASTIAN,VALLE DON CAMILO
SAN SEBASTIAN,VALLE VERDE Y TERMINAL
SANCHEZ,ELECTRICISTAS LOCALES
SANCHEZ,LA TERESONA I
SANCHEZ,LA TERESONA II
SANCHEZ,LA TERESONA III
SANCHEZ,SECTOR POPULAR
SANCHEZ,SOR JUANA INES DE LA CRUZ
SANTA ANA TLAPALTITLAN,16 DE SEPTIEMBRE
SANTA ANA TLAPALTITLAN,BUENAVISTA
SANTA ANA TLAPALTITLAN,DEL PANTEON
SANTA ANA TLAPALTITLAN,INDEPENDENCIA
SANTA ANA TLAPALTITLAN,PINO SUAREZ
SANTA ANA TLAPALTITLAN,SANTA MARIA NORTE
SANTA ANA TLAPALTITLAN,SANTA MARIA SUR
SANTA CRUZ ATZCAPOTZALTONGO,EX HACIENDA LA MAGDALENA (BARRIO SAN JUAN DE LA CRUZ)
SANTA CRUZ ATZCAPOTZALTONGO,SANTA CRUZ NORTE
SANTA CRUZ ATZCAPOTZALTONGO,SANTA CRUZ SUR
SANTA MARIA DE LAS ROSAS,BENITO JUAREZ
SANTA MARIA DE LAS ROSAS,EMILIANO ZAPATA
SANTA MARIA DE LAS ROSAS,EVA SAMANO DE LOPEZ MATEOS
SANTA MARIA DE LAS ROSAS,LA MAGDALENA
SANTA MARIA DE LAS ROSAS,NUEVA SANTA MARIA
SANTA MARIA DE LAS ROSAS,NUEVA SANTA MARIA DE LAS ROSAS
SANTA MARIA DE LAS ROSAS,SANTA MARIA DE LAS ROSAS
SANTA MARIA DE LAS ROSAS,UNIDAD VICTORIA
SANTA MARIA TOTOLTEPEC,EL COECILLO
SANTA MARIA TOTOLTEPEC,DEL CENTRO
SANTA MARIA TOTOLTEPEC,EL CARMEN TOTOLTEPEC
SANTA MARIA TOTOLTEPEC,EL OLIMPO
SANTA MARIA TOTOLTEPEC,HEROES
SANTA MARIA TOTOLTEPEC,PASEO TOTOLTEPEC
SANTA MARIA TOTOLTEPEC,ARBOLEDAS
SANTIAGO MILTEPEC,MILTEPEC CENTRO
SANTIAGO MILTEPEC,MILTEPEC NORTE
SANTIAGO MILTEPEC,MILTEPEC SUR
SANTIAGO TLACOTEPEC,CRISTO REY
SANTIAGO TLACOTEPEC,DEL CENTRO
SANTIAGO TLACOTEPEC,EL CALVARIO
SANTIAGO TLACOTEPEC,EL REFUGIO
SANTIAGO TLACOTEPEC,SANTA JUANITA
SANTIAGO TLACOTEPEC,SANTA MARIA
SANTIAGO TLACOTEPEC,SHIGANDE
SANTIAGO TLAXOMULCO,EL CALVARIO
SANTIAGO TLAXOMULCO,JUNTA LOCAL de CAMINOS
SANTIAGO TLAXOMULCO,LA PEÑA
SAUCES,SAUCES I
SAUCES,SAUCES II
SAUCES,SAUCES III
SAUCES,SAUCES IV
SAUCES,SAUCES V
SAUCES,SAUCES VI
SAUCES,VILLAS SANTIN I
SAUCES,VILLAS SANTIN II
SAUCES,FRANCISCO VILLA
SEMINARIO 2 DE MARZO,HEROES DEL 5 DE MAYO I
SEMINARIO 2 DE MARZO,HEROES DEL 5 DE MAYO II
SEMINARIO 2 DE MARZO,SEMINARIO CUARTA SECCION I
SEMINARIO 2 DE MARZO,SEMINARIO CUARTA SECCION II
SEMINARIO CONCILIAR,SEMINARIO EL MODULO
SEMINARIO CONCILIAR,SEMINARIO EL PARQUE
SEMINARIO CONCILIAR,SEMINARIO PRIMERA SECCION
SEMINARIO CONCILIAR,SEMINARIO TERCERA SECCION
SEMINARIO LAS TORRES,SEMINARIO QUINTA SECCION
SEMINARIO LAS TORRES,SEMINARIO SAN FELIPE DE JESUS
SEMINARIO LAS TORRES,SEMINARIO SEGUNDA SECCION
TECAXIC,TECAXIC ORIENTE
TECAXIC,TECAXIC PONIENTE
TLACHALOYA,BALBUENA
TLACHALOYA,DEL CENTRO
TLACHALOYA,EL TEJOCOTE
TLACHALOYA,SAN CARLOS
TLACHALOYA,SAN JOSE BUENAVISTA
TLACHALOYA,SAN JOSE LA COSTA
TLACHALOYA,TLACHALOYA
UNIVERSIDAD,ALTAMIRANO
UNIVERSIDAD,AMERICAS
UNIVERSIDAD,CUAUHTEMOC
UNIVERSIDAD,UNIVERSIDAD